Subscription Length (Months),Customer Satisfaction Score (1-10),Daily Watch Time (Hours),Engagement Rate (1-10),Device Used Most Often,Genre Preference,Region,Payment History (On-Time/Delayed),Subscription Plan,Support Queries Logged,Age,Monthly Income ($),Promotional Offers Used,Number of Profiles Created,Actual_Churn,Predicted_Churn
31,8,2.0,9,Mobile,Action,Asia,On-Time,Basic,8,31,7092,Yes,2,0,0
39,8,3.63,8,Mobile,Action,Oceania,Delayed,Basic,9,19,8264,Yes,2,0,0
50,8,2.29,8,Laptop,Action,North America,On-Time,Standard,2,50,6769,Yes,4,0,0
17,9,3.39,7,Smart TV,Drama,Africa,Delayed,Premium,5,59,4255,No,5,1,1
10,8,5.78,10,Smart TV,Sci-fi,Europe,Delayed,Premium,6,25,7710,No,3,1,1
38,7,5.07,8,Mobile,Sci-fi,South America,On-Time,Basic,5,43,4145,Yes,5,0,0
9,9,1.41,10,Laptop,Romance,Oceania,On-Time,Standard,6,55,3008,No,4,0,0
13,8,3.51,7,Laptop,Comedy,Oceania,On-Time,Standard,8,63,8709,No,4,0,0
32,7,2.62,9,Smart TV,Romance,North America,On-Time,Basic,9,64,3742,No,5,0,0
25,9,3.78,9,Tablet,Romance,Europe,On-Time,Premium,7,33,4791,No,1,0,0
46,6,1.9,5,Smart TV,Comedy,Asia,Delayed,Basic,4,64,5612,Yes,1,0,0
55,7,5.98,10,Mobile,Action,North America,On-Time,Basic,5,35,5983,Yes,3,0,0
42,7,4.9,9,Tablet,Comedy,Europe,On-Time,Basic,9,61,1879,No,2,0,0
35,4,2.35,1,Laptop,Action,Europe,On-Time,Standard,5,30,8640,No,4,0,0
15,7,4.99,8,Tablet,Romance,South America,On-Time,Basic,9,25,7958,No,1,0,0
30,7,3.49,10,Laptop,Sci-fi,Oceania,On-Time,Basic,2,65,7013,Yes,4,0,0
28,7,1.92,8,Laptop,Romance,Africa,Delayed,Basic,3,31,2101,Yes,4,0,0
46,7,4.97,8,Tablet,Drama,Europe,On-Time,Premium,0,21,9941,No,5,0,0
52,8,1.83,8,Smart TV,Sci-fi,Oceania,Delayed,Basic,2,65,3027,No,3,0,0
2,10,3.86,9,Laptop,Drama,Europe,On-Time,Premium,9,36,2617,Yes,2,0,0
58,7,4.4,10,Laptop,Comedy,Europe,On-Time,Premium,3,52,4216,No,1,0,0
5,10,1.94,7,Mobile,Comedy,Oceania,On-Time,Premium,8,20,5761,No,1,0,0
47,7,1.13,7,Smart TV,Action,Oceania,On-Time,Standard,10,70,5666,Yes,5,0,0
10,4,1.26,1,Laptop,Drama,North America,On-Time,Basic,2,32,5543,Yes,1,0,0
11,3,1.9,2,Laptop,Action,Asia,On-Time,Basic,6,18,5082,No,1,1,1
23,4,5.58,6,Laptop,Romance,South America,On-Time,Standard,0,46,1962,No,1,1,1
19,8,2.44,9,Smart TV,Comedy,South America,On-Time,Basic,10,69,2159,Yes,4,0,0
28,10,1.97,7,Mobile,Romance,Africa,On-Time,Basic,7,60,3760,No,1,0,0
55,7,3.36,7,Tablet,Sci-fi,South America,On-Time,Premium,7,51,5714,Yes,4,0,0
42,10,4.65,7,Tablet,Drama,Europe,On-Time,Premium,10,28,5294,Yes,4,0,0
23,7,1.79,10,Mobile,Sci-fi,Oceania,Delayed,Standard,3,51,3646,No,1,1,1
27,9,5.7,8,Tablet,Drama,South America,Delayed,Basic,2,69,4023,No,5,0,0
21,9,5.38,7,Tablet,Romance,Africa,Delayed,Standard,8,60,8350,Yes,3,1,1
16,10,3.13,8,Laptop,Sci-fi,Europe,Delayed,Basic,10,29,4391,No,1,1,1
42,9,1.73,10,Mobile,Comedy,Oceania,On-Time,Basic,0,39,8823,Yes,2,0,0
2,8,3.93,10,Tablet,Romance,Europe,On-Time,Premium,9,64,9885,Yes,2,0,0
49,5,1.71,2,Tablet,Sci-fi,North America,On-Time,Premium,2,20,6733,Yes,2,0,0
29,9,5.75,7,Tablet,Sci-fi,Europe,On-Time,Basic,0,48,3610,No,4,0,0
4,1,1.45,3,Smart TV,Comedy,North America,Delayed,Standard,9,45,2434,No,4,1,1
17,8,4.92,9,Laptop,Romance,North America,On-Time,Basic,3,18,1107,Yes,4,0,0
4,9,1.05,8,Mobile,Comedy,South America,On-Time,Basic,7,23,6055,No,5,0,0
50,1,3.61,5,Smart TV,Romance,Asia,On-Time,Premium,6,39,8461,Yes,1,0,0
27,3,4.7,1,Tablet,Drama,North America,On-Time,Standard,0,68,7564,Yes,3,0,0
43,4,5.4,4,Laptop,Action,Africa,On-Time,Standard,8,50,8241,Yes,2,0,0
31,9,1.85,9,Laptop,Action,Africa,On-Time,Basic,4,30,2605,Yes,5,0,0
39,10,2.21,8,Laptop,Sci-fi,Africa,On-Time,Standard,8,51,6949,Yes,2,0,0
37,1,3.63,6,Smart TV,Sci-fi,Oceania,On-Time,Standard,7,68,7262,Yes,4,0,0
48,4,4.85,2,Laptop,Sci-fi,South America,Delayed,Premium,9,68,9155,Yes,1,0,0
45,7,4.81,9,Mobile,Sci-fi,North America,On-Time,Standard,6,41,8817,No,1,0,0
27,4,1.1,1,Smart TV,Romance,Africa,On-Time,Standard,2,62,1064,Yes,3,0,0
7,9,5.96,10,Smart TV,Action,Europe,On-Time,Basic,9,36,8163,Yes,2,0,0
26,8,3.12,9,Tablet,Action,Oceania,On-Time,Basic,0,29,7682,No,3,0,0
7,10,5.56,8,Tablet,Action,Oceania,Delayed,Premium,2,36,6666,No,2,1,1
25,6,1.06,1,Mobile,Comedy,South America,On-Time,Basic,5,49,2480,Yes,5,0,0
43,10,4.45,8,Laptop,Drama,South America,Delayed,Basic,10,68,1287,Yes,1,0,0
60,6,3.31,6,Mobile,Drama,Asia,On-Time,Premium,4,23,9042,Yes,5,0,0
21,9,1.67,7,Tablet,Drama,North America,On-Time,Standard,0,66,4716,No,5,0,0
43,10,4.46,9,Smart TV,Action,Asia,Delayed,Basic,9,50,6959,Yes,3,0,0
13,9,5.12,7,Laptop,Drama,Africa,On-Time,Standard,2,25,8268,Yes,1,0,0
43,1,1.34,3,Mobile,Romance,North America,On-Time,Basic,6,57,1340,Yes,4,0,0
54,9,1.78,10,Smart TV,Drama,Asia,Delayed,Standard,1,56,9137,Yes,4,0,0
54,10,3.31,9,Smart TV,Action,South America,Delayed,Basic,2,32,8118,Yes,2,0,0
56,8,3.68,8,Laptop,Action,Asia,On-Time,Standard,0,20,2515,Yes,3,0,0
12,2,3.81,1,Mobile,Sci-fi,South America,On-Time,Standard,2,59,3382,No,3,1,1
13,7,3.58,10,Laptop,Drama,Asia,On-Time,Basic,1,42,8202,No,2,0,0
7,5,4.51,3,Smart TV,Action,Oceania,On-Time,Basic,8,38,5009,Yes,3,0,0
44,8,4.74,9,Smart TV,Action,Europe,On-Time,Basic,0,21,3872,Yes,4,0,0
5,8,3.65,9,Tablet,Sci-fi,North America,Delayed,Premium,10,36,1441,Yes,4,1,1
26,2,2.73,5,Tablet,Sci-fi,Asia,On-Time,Basic,9,62,9883,Yes,3,0,0
25,8,4.15,8,Tablet,Action,Europe,On-Time,Standard,5,39,7806,No,1,0,0
41,8,1.79,10,Mobile,Sci-fi,Oceania,On-Time,Premium,3,50,6737,Yes,3,0,0
38,9,3.03,7,Tablet,Sci-fi,Oceania,Delayed,Basic,10,20,3571,Yes,1,0,0
25,7,4.19,10,Smart TV,Comedy,South America,On-Time,Basic,0,47,2242,No,1,0,0
4,7,5.08,8,Smart TV,Action,North America,On-Time,Basic,0,54,1280,No,5,0,0
14,6,2.0,3,Tablet,Action,Africa,On-Time,Basic,2,28,3946,No,3,1,1
18,8,3.63,9,Smart TV,Drama,Europe,On-Time,Basic,4,61,3153,Yes,1,0,0
29,1,1.15,3,Mobile,Sci-fi,Oceania,Delayed,Standard,2,20,2726,Yes,2,0,0
45,8,5.96,8,Mobile,Comedy,South America,On-Time,Premium,5,43,2449,Yes,4,0,0
59,2,1.82,2,Laptop,Drama,North America,Delayed,Standard,3,43,1354,Yes,1,0,0
50,8,3.97,7,Tablet,Drama,South America,On-Time,Basic,6,66,5435,Yes,1,0,0
41,7,1.2,8,Mobile,Drama,Asia,On-Time,Premium,3,46,3483,No,5,0,0
37,10,5.13,9,Laptop,Action,Oceania,On-Time,Standard,6,34,7883,Yes,4,0,0
48,2,4.29,4,Smart TV,Comedy,Asia,On-Time,Basic,8,21,2074,No,2,0,0
53,8,1.84,7,Mobile,Romance,North America,On-Time,Standard,6,29,6882,No,3,0,0
27,6,3.48,1,Laptop,Drama,Europe,On-Time,Basic,10,46,2207,Yes,2,0,0
13,5,1.72,2,Tablet,Comedy,Asia,On-Time,Standard,6,43,1965,Yes,5,0,0
51,4,2.67,4,Tablet,Action,Asia,On-Time,Basic,10,44,2633,No,3,0,0
31,8,5.84,7,Laptop,Action,South America,Delayed,Premium,0,39,6622,No,3,0,0
19,8,1.07,8,Tablet,Comedy,South America,On-Time,Basic,1,38,8597,No,5,0,0
10,10,1.02,9,Tablet,Romance,North America,On-Time,Basic,1,55,7845,Yes,2,0,0
21,10,5.93,9,Smart TV,Action,Asia,On-Time,Premium,8,47,1738,Yes,1,0,0
20,8,1.78,8,Laptop,Sci-fi,North America,On-Time,Standard,10,37,5374,No,3,0,0
45,7,3.11,8,Mobile,Action,Africa,Delayed,Standard,4,52,4996,Yes,4,0,0
25,9,2.77,7,Smart TV,Action,Europe,On-Time,Premium,8,40,1957,No,5,0,0
60,1,1.79,4,Laptop,Comedy,Asia,On-Time,Standard,3,31,9768,Yes,4,0,0
9,7,3.25,7,Smart TV,Drama,Oceania,Delayed,Premium,10,36,9255,Yes,5,1,1
52,4,5.4,2,Mobile,Action,South America,On-Time,Basic,7,43,9158,Yes,4,0,0
29,7,3.28,9,Tablet,Action,Oceania,Delayed,Basic,0,23,1624,No,4,0,0
31,9,3.96,7,Laptop,Sci-fi,Europe,Delayed,Basic,2,48,4919,No,1,0,0
47,1,4.24,2,Smart TV,Comedy,North America,On-Time,Premium,2,27,4727,No,3,0,0
15,7,3.79,7,Tablet,Comedy,Asia,On-Time,Basic,3,60,8477,Yes,5,0,0
11,7,3.76,7,Laptop,Action,Oceania,Delayed,Basic,8,45,6673,No,3,1,1
23,9,1.25,8,Laptop,Drama,Oceania,Delayed,Basic,5,42,7617,No,1,1,1
33,10,3.33,9,Tablet,Sci-fi,North America,Delayed,Standard,1,32,1644,No,1,0,0
7,2,4.64,5,Smart TV,Drama,Europe,On-Time,Standard,6,44,8456,Yes,4,0,0
54,10,5.0,9,Mobile,Action,North America,On-Time,Basic,9,64,3008,Yes,5,0,0
16,10,3.68,10,Tablet,Drama,Europe,On-Time,Basic,6,26,9103,Yes,5,0,0
4,2,2.01,6,Laptop,Drama,Oceania,On-Time,Basic,10,43,4815,No,5,1,1
3,2,1.23,3,Tablet,Romance,South America,On-Time,Basic,6,40,7142,Yes,4,0,0
7,2,3.86,5,Laptop,Romance,Africa,Delayed,Basic,3,26,5720,No,3,1,1
21,10,3.93,9,Tablet,Sci-fi,Oceania,On-Time,Standard,4,33,5332,Yes,1,0,0
18,1,1.46,2,Smart TV,Comedy,Europe,On-Time,Standard,0,35,7084,No,2,1,1
50,10,1.29,7,Laptop,Drama,Europe,On-Time,Premium,8,18,8061,Yes,2,0,0
20,9,2.14,9,Laptop,Romance,South America,On-Time,Standard,0,63,8615,No,3,0,0
49,9,1.56,10,Tablet,Action,Asia,Delayed,Standard,4,50,1042,No,4,0,0
21,10,2.62,8,Tablet,Romance,South America,On-Time,Premium,7,51,5704,Yes,1,0,0
35,8,3.89,10,Mobile,Romance,Oceania,On-Time,Basic,0,34,3981,No,1,0,0
7,1,5.8,1,Laptop,Drama,Oceania,On-Time,Basic,8,45,8259,Yes,2,0,0
6,8,2.91,9,Laptop,Romance,Europe,On-Time,Standard,2,26,6590,Yes,1,0,0
22,4,5.69,6,Mobile,Sci-fi,Africa,On-Time,Standard,1,43,2404,No,1,1,1
6,7,4.6,9,Tablet,Sci-fi,South America,On-Time,Standard,8,28,7895,Yes,5,0,0
46,10,1.9,10,Smart TV,Drama,South America,On-Time,Premium,10,68,4066,Yes,4,0,0
57,5,1.7,3,Smart TV,Action,Africa,On-Time,Basic,3,56,5901,No,5,0,0
50,7,5.0,8,Laptop,Comedy,Europe,On-Time,Basic,3,45,9178,No,5,0,0
43,10,3.29,8,Mobile,Romance,Africa,On-Time,Basic,4,29,6735,No,4,0,0
34,3,1.82,5,Laptop,Drama,Africa,On-Time,Basic,3,53,6784,No,2,0,0
58,10,3.13,10,Mobile,Sci-fi,South America,On-Time,Basic,4,66,1499,Yes,4,0,0
30,8,1.11,7,Smart TV,Comedy,Europe,On-Time,Standard,8,23,7272,Yes,3,0,0
55,9,3.2,10,Laptop,Action,Europe,Delayed,Standard,10,50,2132,No,4,0,0
16,7,5.12,10,Smart TV,Comedy,Europe,On-Time,Standard,2,35,1296,Yes,2,0,0
27,8,5.2,8,Tablet,Romance,Europe,On-Time,Basic,0,42,7683,Yes,4,0,0
51,9,1.83,10,Tablet,Comedy,Asia,On-Time,Standard,9,34,7342,No,4,0,0
46,8,4.51,8,Tablet,Romance,North America,On-Time,Basic,1,70,6079,Yes,5,0,0
56,7,4.37,7,Tablet,Drama,Africa,On-Time,Premium,1,50,1554,Yes,2,0,0
32,10,4.95,10,Smart TV,Drama,Africa,Delayed,Standard,4,27,2593,Yes,4,0,0
54,6,3.28,4,Smart TV,Romance,Africa,On-Time,Basic,6,41,4335,No,2,0,0
53,7,4.94,9,Tablet,Drama,South America,Delayed,Standard,4,20,3220,Yes,3,0,0
2,9,5.61,7,Laptop,Drama,Europe,On-Time,Basic,9,33,7501,Yes,4,0,0
41,1,2.55,4,Smart TV,Romance,South America,On-Time,Standard,6,63,5354,No,1,0,0
45,10,1.9,8,Smart TV,Action,Asia,Delayed,Basic,6,35,8893,Yes,2,0,0
52,10,1.18,7,Laptop,Comedy,Europe,Delayed,Basic,8,43,9088,No,4,0,0
46,10,3.57,9,Laptop,Drama,Africa,Delayed,Standard,4,51,2372,Yes,3,0,0
2,7,4.75,9,Laptop,Drama,Africa,On-Time,Premium,1,64,3798,Yes,3,0,0
49,7,5.7,7,Smart TV,Drama,Africa,On-Time,Basic,3,58,1357,Yes,4,0,0
12,9,5.09,8,Mobile,Sci-fi,Asia,On-Time,Standard,5,33,6294,No,4,0,0
19,10,2.84,7,Laptop,Action,Oceania,On-Time,Basic,6,21,4052,Yes,2,0,0
30,1,4.58,3,Mobile,Comedy,Africa,On-Time,Basic,5,35,8356,Yes,5,0,0
25,8,4.08,10,Smart TV,Comedy,North America,Delayed,Premium,2,44,7962,Yes,2,0,0
28,6,4.99,6,Smart TV,Drama,Europe,On-Time,Standard,9,61,4981,Yes,5,0,0
2,5,2.02,2,Tablet,Sci-fi,Oceania,On-Time,Standard,3,53,6820,Yes,3,0,0
3,8,2.31,8,Laptop,Sci-fi,South America,On-Time,Standard,1,41,2864,Yes,4,0,0
29,5,4.05,3,Laptop,Romance,South America,Delayed,Basic,2,55,1471,No,1,0,0
45,4,4.07,4,Tablet,Sci-fi,Europe,Delayed,Basic,10,46,7537,No,3,0,0
42,2,3.81,5,Mobile,Romance,Asia,On-Time,Standard,8,21,8630,No,2,0,0
37,9,4.4,7,Smart TV,Drama,Asia,On-Time,Basic,10,55,4194,Yes,1,0,0
15,7,1.55,8,Tablet,Sci-fi,Oceania,On-Time,Standard,9,27,7721,Yes,1,0,0
31,10,1.69,8,Smart TV,Comedy,Asia,Delayed,Basic,8,38,7716,No,2,0,0
56,9,1.77,8,Mobile,Comedy,South America,On-Time,Basic,8,51,1145,Yes,5,0,0
40,6,2.47,1,Laptop,Sci-fi,North America,On-Time,Basic,7,59,3863,Yes,1,0,0
43,1,4.53,2,Laptop,Comedy,Oceania,Delayed,Premium,9,18,1763,No,3,0,0
57,9,1.89,7,Mobile,Romance,South America,On-Time,Standard,5,67,2735,No,5,0,0
17,10,1.06,8,Laptop,Romance,Oceania,On-Time,Basic,9,38,4233,No,4,0,0
14,7,1.71,9,Tablet,Drama,Oceania,On-Time,Premium,5,39,7978,Yes,2,0,0
16,6,1.47,1,Mobile,Action,North America,On-Time,Basic,0,37,6986,No,2,1,1
57,10,3.0,9,Smart TV,Romance,North America,On-Time,Standard,7,37,7365,Yes,3,0,0
36,7,5.86,7,Mobile,Sci-fi,Africa,On-Time,Standard,9,30,1108,No,5,0,0
13,10,1.04,10,Mobile,Comedy,Africa,On-Time,Premium,4,18,6498,Yes,4,0,0
55,8,4.48,10,Tablet,Sci-fi,Oceania,Delayed,Basic,10,26,9626,No,1,0,0
16,8,3.6,8,Mobile,Action,Asia,Delayed,Premium,3,49,6611,Yes,5,1,1
53,8,4.44,8,Mobile,Comedy,North America,Delayed,Basic,3,49,5747,Yes,3,0,0
23,10,1.39,7,Laptop,Comedy,Asia,Delayed,Premium,1,58,8636,No,3,1,1
50,10,1.47,9,Mobile,Sci-fi,Africa,On-Time,Standard,5,31,8253,No,1,0,0
17,8,4.64,9,Laptop,Drama,South America,Delayed,Standard,1,35,8187,No,5,1,1
18,9,4.61,8,Laptop,Comedy,Europe,Delayed,Standard,0,48,7283,Yes,2,1,1
38,7,1.62,8,Tablet,Romance,North America,Delayed,Basic,7,65,2531,Yes,3,0,0
20,9,5.29,8,Mobile,Drama,North America,On-Time,Premium,4,62,8293,Yes,4,0,0
16,10,2.69,9,Laptop,Romance,Europe,Delayed,Standard,6,42,3840,No,3,1,1
26,10,5.16,9,Tablet,Action,South America,On-Time,Premium,7,44,2411,Yes,3,0,0
5,7,1.5,9,Laptop,Drama,Africa,On-Time,Standard,2,60,8097,No,3,0,0
31,8,3.09,7,Smart TV,Comedy,Europe,On-Time,Basic,9,60,1074,No,4,0,0
14,8,3.13,9,Smart TV,Action,Oceania,On-Time,Basic,8,62,7269,No,5,0,0
18,7,2.56,9,Mobile,Comedy,Africa,Delayed,Standard,6,44,2418,Yes,5,1,1
46,10,3.55,7,Mobile,Drama,Europe,On-Time,Standard,6,41,5221,Yes,2,0,0
46,9,1.8,9,Smart TV,Comedy,North America,On-Time,Standard,1,52,8518,Yes,3,0,0
32,10,2.42,8,Smart TV,Action,Europe,On-Time,Basic,2,60,2506,Yes,3,0,0
31,7,4.5,10,Mobile,Comedy,Asia,On-Time,Premium,6,67,1306,Yes,3,0,0
25,9,5.21,10,Laptop,Sci-fi,Asia,On-Time,Basic,9,42,3388,Yes,4,0,0
8,10,4.58,8,Tablet,Comedy,Africa,Delayed,Standard,2,43,2062,Yes,1,1,1
46,8,3.13,8,Mobile,Comedy,South America,On-Time,Basic,6,27,4004,No,5,0,0
8,7,5.1,7,Mobile,Action,Oceania,Delayed,Basic,8,24,9846,No,3,1,1
15,5,3.07,6,Tablet,Drama,Oceania,On-Time,Standard,1,48,1391,Yes,5,0,0
36,7,3.47,8,Laptop,Drama,North America,On-Time,Standard,7,25,9883,Yes,1,0,0
52,8,3.5,9,Smart TV,Romance,Europe,Delayed,Standard,4,42,8347,Yes,5,0,0
31,8,1.02,8,Smart TV,Comedy,Oceania,Delayed,Basic,4,53,5720,No,4,0,0
21,3,5.43,6,Laptop,Romance,Europe,On-Time,Basic,7,61,9062,Yes,3,0,0
8,7,1.16,10,Tablet,Sci-fi,Africa,On-Time,Basic,6,51,3999,No,2,0,0
38,2,5.18,5,Tablet,Drama,South America,On-Time,Basic,5,64,2034,No,5,0,0
14,8,5.87,10,Smart TV,Romance,Asia,On-Time,Premium,9,62,9012,Yes,3,0,0
42,8,1.45,8,Mobile,Sci-fi,Oceania,On-Time,Basic,7,41,3714,Yes,3,0,0
7,8,3.87,10,Tablet,Romance,South America,Delayed,Premium,10,58,7895,No,3,1,1
60,1,4.95,5,Laptop,Romance,South America,On-Time,Standard,1,52,8105,Yes,5,0,0
6,10,5.34,10,Laptop,Comedy,Asia,On-Time,Basic,7,21,2249,Yes,1,0,0
55,10,5.68,9,Mobile,Comedy,North America,On-Time,Standard,8,42,4413,Yes,1,0,0
41,9,5.02,10,Mobile,Drama,Oceania,On-Time,Standard,5,43,4828,Yes,3,0,0
18,2,4.11,5,Tablet,Comedy,Oceania,On-Time,Standard,3,46,1908,Yes,1,0,0
51,8,3.27,8,Mobile,Sci-fi,Oceania,On-Time,Basic,10,64,5678,No,2,0,0
30,6,5.94,3,Laptop,Drama,Africa,On-Time,Standard,0,61,9814,Yes,3,0,0
34,1,5.87,4,Tablet,Comedy,Oceania,Delayed,Standard,4,47,8719,No,5,0,0
11,4,4.88,3,Tablet,Comedy,Africa,On-Time,Premium,5,23,4302,Yes,2,0,0
58,9,1.17,10,Tablet,Sci-fi,Asia,On-Time,Basic,1,27,4404,No,4,0,0
10,8,2.22,10,Tablet,Romance,Europe,On-Time,Premium,6,32,4170,Yes,2,0,0
18,7,2.37,7,Smart TV,Action,Europe,On-Time,Premium,1,53,6495,No,3,0,0
25,10,5.32,8,Laptop,Drama,Asia,On-Time,Standard,1,58,4127,No,2,0,0
52,9,3.31,7,Smart TV,Action,Oceania,On-Time,Premium,7,40,5106,Yes,4,0,0
34,8,3.89,8,Tablet,Sci-fi,Oceania,On-Time,Standard,0,40,9190,Yes,3,0,0
45,10,5.67,9,Smart TV,Drama,Africa,On-Time,Basic,5,68,3878,Yes,3,0,0
23,7,3.69,8,Tablet,Comedy,Asia,On-Time,Basic,6,70,6444,Yes,1,0,0
7,8,3.31,8,Laptop,Comedy,South America,On-Time,Basic,6,28,7235,No,3,0,0
24,7,4.25,10,Tablet,Drama,Europe,Delayed,Standard,3,70,4316,No,3,1,1
26,4,3.93,3,Tablet,Romance,North America,On-Time,Basic,3,19,7684,Yes,1,0,0
60,9,1.87,10,Smart TV,Sci-fi,Africa,Delayed,Premium,4,47,5944,Yes,5,0,0
59,8,4.59,8,Smart TV,Romance,North America,On-Time,Standard,9,64,9393,Yes,3,0,0
40,7,4.57,8,Smart TV,Comedy,Asia,Delayed,Basic,1,31,3062,Yes,3,0,0
19,10,4.59,9,Tablet,Romance,South America,Delayed,Standard,2,70,5769,No,3,1,1
26,7,5.15,10,Tablet,Action,Asia,On-Time,Standard,10,30,3746,Yes,4,0,0
24,8,4.85,8,Laptop,Sci-fi,South America,On-Time,Premium,5,68,9472,Yes,1,0,0
23,7,3.66,7,Mobile,Sci-fi,North America,Delayed,Premium,3,48,2589,No,1,1,1
45,2,3.62,1,Mobile,Sci-fi,Africa,On-Time,Basic,5,31,9608,Yes,3,0,0
